"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"91","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/263024","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","20-Aug-2026","GP DEVIKHEDA","Payment In-Progress","600000"
"92","Punjab","Renovation of ponds and lakes","WS/MP141/2025-2026/261041","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Sep-2026","DEVRAJ SO KHAJAN CHAND","Payment In-Progress","303238"
"93","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/204333","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","15-Sep-2026","LUCKY ASSOCIATES","Payment In-Progress","422775"
"94","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/204334","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","15-Sep-2026","LUCKY ASSOCIATES","Payment In-Progress","430138"
"95","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/204332","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","15-Sep-2026","LUCKY ASSOCIATES","Payment In-Progress","431979"
"96","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/204331","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","15-Sep-2026","LUCKY ASSOCIATES","Payment In-Progress","427990"
"97","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/204330","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","15-Sep-2026","LUCKY ASSOCIATES","Payment In-Progress","432285"
"98","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP224/2026-2027/284871","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","17-Sep-2026","GRAM PANCHAYAT PIPRA","Payment In-Progress","750000"
"99","Madhya Pradesh","Construction of culverts and bridges","WS/MP18316/2025-2026/250285","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","09-Sep-2026","singhpur chhota","Payment In-Progress","250000"
"100","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/301953","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Sep-2026","BHAGAT RAM KISHAN CHAND","Payment In-Progress","279201"
"101","Madhya Pradesh","Street lights","WS/MP106/2026-2027/276510","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Gram Panchayat Urhera","Payment In-Progress","200000"
"102","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/12510","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Gram Panchayat Urhera","Payment In-Progress","250000"
"103","Jammu And Kashmir","Construction of community centers and community halls","WS/MP839/2026-2027/294086","SHAJAPUR(District Collector Shajapur_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","12-Sep-2026","CEO JANPAD PANCHAYAT SHAJAPUR","Payment In-Progress","750000"
"104","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18427/2025-2026/245769","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","01-Sep-2026","PALETI SATEESH","Payment In-Progress","2501527"
"105","Himachal Pradesh","Development of playfields and sports grounds","WS/MP078/2026-2027/301864","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","15-Sep-2026","Block Development Office Kotkhai Rajya Sabha","Payment In-Progress","200000"
"106","Bihar","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18332/2025-2026/217319","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","19-Aug-2026","ASSISTANT ENGINEER  BAHADURPUR","Payment In-Progress","648902"
"107","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2026-2027/291856","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","07-Sep-2026","BDO MASHOBRA RAJYA SABHA","Payment In-Progress","500000"
"108","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2026-2027/300021","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","15-Sep-2026","ASSISTANT ENGINEER CHANPTIYA","Payment In-Progress","994688"
"109","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP181/2026-2027/194228","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","31-Aug-2026","HARSHPREM ENTERPRISES PVT LTD","Payment In-Progress","1123500"
"110","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2023-2024/16913","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","30-Aug-2025","Sunny Enterprises","Payment In-Progress","125500"
"111","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260886","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","16-Sep-2026","MURUGAN ENTERPRISES","Payment In-Progress","299880"
"112","Tamil Nadu","Lighting of public spaces","WS/MP163/2026-2027/260885","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","16-Sep-2026","MURUGAN ENTERPRISES","Payment In-Progress","299880"
"113","Madhya Pradesh","Construction of shelters for animals","WS/MP106/2025-2026/219723","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","22-Aug-2026","GRAM PANCHAYAT JHOT","Payment In-Progress","125000"
"114","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284162","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"115","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284173","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"116","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284174","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"117","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284175","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"118","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284176","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"119","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284161","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"120","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284163","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"121","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284164","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"122","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284165","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"123","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284166","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"124","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284167","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"125","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284168","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"126","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284169","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"127","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284170","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"128","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284171","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"129","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284172","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"130","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284158","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"131","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284159","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"132","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284160","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"133","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/205446","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","08-Sep-2026","EMF","Payment In-Progress","421"
"134","Uttar Pradesh","Construction of public toilets and bathrooms","WS/MP186/2025-2026/218810","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","15-Sep-2026","Badri Prasad Buliding Material and Suppl","Payment In-Progress","1387620"
"135","Uttar Pradesh","Construction of culverts and bridges","WS/MP186/2025-2026/218812","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Khand Vikas Adhikari","Payment In-Progress","254060"
"136","Himachal Pradesh","Construction of public toilets and bathrooms","WS/MP078/2024-2025/28571","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","03-Sep-2026","MC Shimla Rajya Sabha","Payment In-Progress","195441"
"137","Punjab","Construction of stadiums","WS/MP141/2023-2024/80690","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","04-Sep-2026","Puneet Iron Store","Payment In-Progress","50000"
"138","Punjab","Construction of stadiums","WS/MP141/2023-2024/80690","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","04-Sep-2026","Puneet Iron Store","Payment In-Progress","49800"
"139","Punjab","Construction of stadiums","WS/MP141/2023-2024/80690","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","04-Sep-2026","Puneet Iron Store","Payment In-Progress","48140"
"140","Punjab","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP141/2025-2026/213254","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Sep-2026","Ms Krishan Kumar Bko","Payment In-Progress","9000"
"141","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18297/2025-2026/213656","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","01-Sep-2026","Gp Meen","Payment In-Progress","300000"
"142","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP186/2025-2026/219128","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","10-Aug-2026","BDO PAHADI","Payment In-Progress","58512"
"143","Uttar Pradesh","Construction of stadiums","WS/MP188/2026-2027/179557","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Vaid Associates","Payment In-Progress","2710610"
"144","Uttar Pradesh","Construction of public toilets and bathrooms","WS/MP186/2025-2026/218811","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Khand Vikas Adhikari","Payment In-Progress","294368"
"145","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299129","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Sep-2026","Nandha and Company","Payment In-Progress","82320"
"146","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248772","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","11-Sep-2026","MAA SHARDA ENTERPRISES","Payment In-Progress","209187"
"147","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/242858","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","29-Jul-2026","Riyanshi Contractor","Payment In-Progress","496946"
"148","Uttarakhand","Construction of water tanks","WS/MP18333/2025-2026/186613","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","03-Aug-2026","Riyanshi Contractor","Payment In-Progress","977393"
"149","Kerala","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP101/2026-2027/222860","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","11-Sep-2026","Keltron Component complex Ltd Kannur","Payment In-Progress","110000"
"150","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/266260","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","16-Sep-2026","MS Jitendra Kumar Yadav","Payment In-Progress","335381"
"151","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18410/2026-2027/270839","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Jagat Prakash Nadda (2024-30) (2024-2030)","Elected MP","24-Aug-2026","MOTA GRAM PANCHAYAT","Payment In-Progress","500000"
"152","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP203/2025-2026/209150","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","19-Aug-2026","POOJA ENTERPRISES","Payment In-Progress","466572"
"153","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224034","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","06-Aug-2026","J R Group","Payment In-Progress","111973"
"154","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/247312","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","11-Jul-2026","J R Group","Payment In-Progress","1172052"
"155","Uttar Pradesh","Construction of culverts and bridges","WS/MP186/2025-2026/218841","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Randheer Enterprises","Payment In-Progress","863990"
"156","Uttar Pradesh","Construction of public toilets and bathrooms","WS/MP186/2025-2026/218811","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Tarkeshwar Prasad Pandey","Payment In-Progress","1314697"
"157","Karnataka","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP838/2026-2027/269864","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","02-Sep-2026","PRED BELLARY","Payment In-Progress","374250"
"158","Uttar Pradesh","Construction of public toilets and bathrooms","WS/MP186/2025-2026/218810","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","15-Sep-2026","Khand Vikas Adhikari","Payment In-Progress","66716"
"159","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18288/2025-2026/211228","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","11-Sep-2026","GRAM PANCHAYAT KEVADIA 54","Payment In-Progress","500000"
"160","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2025-2026/237305","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","11-Sep-2026","GRAM PANCHAYAT KEVADIA 54","Payment In-Progress","200000"
"161","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2024-2025/150647","Mahisagar(COLLECTOR MAHISAGAR_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","03-Sep-2026","OTHAVAD GRAM PANCHYAT GRAM PANCHYAT","Payment In-Progress","298558"
"162","Uttar Pradesh","Construction of culverts and bridges","WS/MP186/2025-2026/218812","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","VIJAY KUMAR SINGH","Payment In-Progress","1823366"
"163","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/256626","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Aug-2026","Bhoyan Grampanchayat","Payment In-Progress","300000"
"164","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18333/2026-2027/254901","PITHORAGARH(NRLM , pithoragarh)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","03-Sep-2026","MUKESH WALDIA","Payment In-Progress","498500"
